Nombre,EjeMayor,PeriodoDias,Excentricidad
OGLE2-TR-L9_b,0.0413279,2.4855335,0
Kepler-54_b,0.0626016,8.0109434,
Kepler-355_c,0.170712,25.762294,
Kepler-375_c,0.144132,19.986326,
Kepler-137_b,0.0811044,8.436387,
Kepler-85_d,0.133985,17.91323,
Kepler-224_c,0.0640814,5.925003,
WASP-22_b,0.0468682,3.53269,0.023
WASP-2_b,0.0312729,2.1522254,0
Kepler-392_b,0.0598046,5.341853,
Kepler-247_c,0.087412,9.439452,
HD_164922_b,2.10091,1155,0.05
Kepler-271_b,0.0588746,5.217738,
Kepler-30_c,0.300013,60.3231,0.0111
Kepler-190_c,0.0473476,3.763024,
tau_Gru_b,2.51797,1311,0.07
WASP-34_b,0.0520747,4.3176782,0.038
Kepler-397_c,0.516293,135.498527,
HD_96063_b,1.11312,361.1,0
HAT-P-22_b,0.0414094,3.21222,0.016
Kepler-221_b,0.0388408,2.795906,
CoRoT-7_b,0.0171897,0.853585,0
HD_5608_b,1.98519,792.6,0.19
Kepler-172_e,0.209877,35.118736,
Kepler-178_b,0.0882572,9.576694,
Kepler-147_c,0.203039,33.416423,
HATS-1_b,0.0444708,3.446459,0.12
Kepler-378_c,0.184331,28.906009,
HD_80606_b,0.447343,111.4367,0.934
Kepler-158_b,0.127912,16.709184,
Kepler-45_b,0.0298817,2.455239,0.11
Kepler-68_b,0.0617749,5.398763,0
Kepler-308_b,0.0889821,9.694928,
WASP-78_b,0.0361391,2.17517656,0
Kepler-108_c,0.647542,190.323494,
HD_86264_b,2.84117,1475,0.7
Kepler-266_c,0.443078,107.723601,
Kepler-239_c,0.287238,56.228098,
HD_82943_c,0.742283,219.3,0.425
Kepler-205_c,0.145668,20.306546,
Kepler-319_b,0.0522529,4.362705,
Kepler-162_c,0.141525,19.446355,
Kepler-126_c,0.153051,21.869741,
Kepler-384_c,0.248874,45.348269,
iota_Hor_b,0.92376,302.8,0.14
HD_37124_d,2.80658,1862,0.16
HD_192263_b,0.152945,24.3556,0.055
HD_204313_b,3.07131,1920.1,0.23
Kepler-212_c,0.196459,31.805174,
Kepler-53_c,0.221868,38.5583038,
Kepler-321_b,0.0565776,4.915379,
Kepler-402_d,0.0841819,8.921099,
Kepler-339_d,0.0941898,10.558345,
Kepler-407_b,0.0149747,0.6693109,0
TrES-3_b,0.0227178,1.30619,0
Kepler-188_b,0.0317043,2.061897,
HIP_14810_b,0.0692271,6.673859,0.142483
Kepler-10_c,0.239651,45.29485,
HD_90156_b,0.249855,49.77,0.31
Kepler-259_c,0.217013,36.924931,
Kepler-304_d,0.0887283,9.653471,
Kepler-150_e,0.192408,30.826557,
Kepler-218_c,0.246495,44.699576,
Pr_211_b,0.0320419,2.1451,0
Kepler-203_b,0.0421675,3.162697,
Kepler-6_b,0.0456089,3.234723,0
Kepler-244_d,0.14444,20.050401,
24_Sex_c,2.24032,910,0.412
Kepler-358_b,0.20564,34.060467,
Kepler-373_c,0.127997,16.725948,
HD_60532_c,1.57999,604,0.02
Kepler-299_b,0.0400468,2.927128,
Kepler-140_c,0.396968,91.353282,
Kepler-23_d,0.12048,15.274299,
HD_68988_b,0.0692771,6.27711,0.1249
Kepler-84_b,0.08295,8.726,
HAT-P-26_b,0.0478684,4.234516,0.124
Kepler-292_f,0.148181,20.834237,
Kepler-20_e,0.063351,6.098493,0
Kepler-296_d,0.143477,19.850242,
HD_149143_b,0.0530508,4.072,0.016
Kepler-62_d,0.119499,18.16406,0.0948683
HD_79498_b,3.13296,1966.1,0.59
